Property_ID,Timestamp,half-hour,Boiler_Energy_Output,Circulation_Pump_Energy_Consumed,Heat_Pump_Energy_Output,Whole_System_Energy_Consumed,External_Air_Temperature,Heat_Pump_Heating_Flow_Temperature,Heat_Pump_Return_Temperature,Internal_Air_Temperature,Hot_Water_Flow_Temperature,Immersion_Heater_Energy_Consumed,Back-up_Heater_Energy_Consumed,Brine_Flow_Temperature,Brine_Return_Temperature
EOH0669,2021-11-09 09:00:00,09:00:00,,0.0,0.0,0.006,12.88,26.1,19.76,20.86,,0.0,,,
EOH0669,2021-11-09 09:30:00,09:30:00,,0.0,0.0,0.033,12.95,26.24,20.85,20.53,,0.0,,,
EOH0669,2021-11-09 10:00:00,10:00:00,,0.0,0.0,0.059,13.07,26.24,21.95,20.38,,0.0,,,
EOH0669,2021-11-09 10:30:00,10:30:00,,0.0,0.0,0.086,13.22,26.09,22.54,20.24,,0.0,,,
EOH0669,2021-11-09 11:00:00,11:00:00,,0.0,0.0,0.106,13.37,25.92,22.88,20.14,,0.0,,,
EOH0669,2021-11-09 11:30:00,11:30:00,,0.0,0.0,0.124,13.52,26.0,23.26,20.13,,0.0,,,
EOH0669,2021-11-09 12:00:00,12:00:00,,0.0,0.0,0.151,13.6,26.27,23.71,20.07,,0.0,,,
EOH0669,2021-11-09 12:30:00,12:30:00,,0.0,0.0,0.177,13.6,26.5,24.06,20.0,,0.0,,,
EOH0669,2021-11-09 13:00:00,13:00:00,,0.0,0.0,0.204,13.46,26.67,24.31,19.96,,0.0,,,
EOH0669,2021-11-09 13:30:00,13:30:00,,0.0,0.0,0.224,13.16,26.78,24.52,19.96,,0.0,,,
EOH0669,2021-11-09 14:00:00,14:00:00,,0.0,0.0,0.242,12.91,26.86,24.67,19.96,,0.0,,,
EOH0669,2021-11-09 14:30:00,14:30:00,,0.0,0.0,0.263,12.71,26.91,24.77,19.94,,0.0,,,
EOH0669,2021-11-09 15:00:00,15:00:00,,0.0,3.312,0.862,12.37,29.42,25.41,19.94,,0.0,,,
EOH0669,2021-11-09 15:30:00,15:30:00,,0.0,8.891,2.212,11.87,45.77,40.29,20.49,,0.0,,,
EOH0669,2021-11-09 16:00:00,16:00:00,,0.0,12.035,2.996,11.46,47.21,41.9,21.48,,0.0,,,
